Agents,Type,Alt,Success,Percent
1,n,0.5,0,0.00
1,n,1,0,0.00
1,n,1.5,0,0.00
1,n,2,1,1.00
1,w,0.5,0,0.00
1,w,1,0,0.00
1,w,1.5,1,1.00
1,w,2,1,1.00
5,n,0.5,0,0.00
5,n,1,2,0.40
5,n,1.5,3,0.60
5,n,2,5,1.00
5,w,0.5,0,0.00
5,w,1,3,0.60
5,w,1.5,5,1.00
5,w,2,5,1.00
8,n,0.5,1,0.13
8,n,1,6,0.75
8,n,1.5,7,0.88
8,n,2,8,1.00
8,w,0.5,2,0.25
8,w,1,6,0.75
8,w,1.5,8,1.00
8,w,2,8,1.00
10,n,0.5,2,0.20
10,n,1,7,0.70
10,n,1.5,9,0.90
10,n,2,10,1.00
10,w,0.5,3,0.30
10,w,1,8,0.80
10,w,1.5,10,1.00
10,w,2,10,1.00
20,n,0.5,11,0.55
20,n,1,17,0.85
20,n,1.5,19,0.95
20,n,2,20,1.00
20,w,0.5,13,0.65
20,w,1,18,0.90
20,w,1.5,20,1.00
20,w,2,20,1.00
50,n,0.5,38,0.76
50,n,1,45,0.90
50,n,1.5,49,0.98
50,n,2,50,1.00
50,w,0.5,32,0.64
50,w,1,48,0.96
50,w,1.5,50,1.00
50,w,2,50,1.00
100,n,0.5,85,0.85
100,n,1,97,0.97
100,n,1.5,99,0.99
100,n,2,100,1.00
100,w,0.5,84,0.84
100,w,1,98,0.98
100,w,1.5,100,1.00
100,w,2,100,1.00
