agents,successful
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,1.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,1.0
10.0,0.0
11.0,0.0
12.0,5.0
13.0,3.0
14.0,6.0
15.0,7.0
16.0,5.0
17.0,7.0
18.0,4.0
19.0,5.0
20.0,7.0
21.0,8.0
22.0,8.0
23.0,9.0
24.0,12.0
25.0,16.0
26.0,12.0
27.0,13.0
28.0,15.0
29.0,15.0
30.0,17.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,1.0
9.0,0.0
10.0,8.0
11.0,0.0
12.0,3.0
13.0,3.0
14.0,2.0
15.0,4.0
16.0,4.0
17.0,4.0
18.0,4.0
19.0,5.0
20.0,6.0
21.0,9.0
22.0,10.0
23.0,11.0
24.0,11.0
25.0,10.0
26.0,14.0
27.0,15.0
28.0,16.0
29.0,14.0
30.0,18.0
1.0,0.0
2.0,0.0
3.0,1.0
4.0,0.0
5.0,1.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,3.0
10.0,1.0
11.0,3.0
12.0,1.0
13.0,3.0
14.0,4.0
15.0,2.0
16.0,3.0
17.0,3.0
18.0,7.0
19.0,7.0
20.0,7.0
21.0,8.0
22.0,8.0
23.0,9.0
24.0,10.0
25.0,11.0
26.0,11.0
27.0,15.0
28.0,13.0
29.0,14.0
30.0,20.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,1.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,2.0
12.0,1.0
13.0,3.0
14.0,2.0
15.0,4.0
16.0,3.0
17.0,6.0
18.0,5.0
19.0,5.0
20.0,6.0
21.0,7.0
22.0,9.0
23.0,9.0
24.0,10.0
25.0,9.0
26.0,11.0
27.0,14.0
28.0,12.0
29.0,18.0
30,17
