num_agents,trials,weight0,weight1,weight2,weight3,weight4,height,height tol,end time,etta,succ,variance,time per trial
1,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,0.0,0.0,16
2,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,0.7333333333333333,0.7955555555555553,24
3,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,2.1,0.5566666666666669,32
4,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,3.066666666666667,0.7955555555555557,40
5,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,3.7666666666666666,1.1788888888888889,50
6,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,5.366666666666666,0.43222222222222223,67
7,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,5.933333333333334,0.5288888888888891,79
8,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,7.2,0.6933333333333334,92
9,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,7.966666666666667,0.698888888888889,98
10,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,9.0,0.8,107
11,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,9.9,1.2233333333333332,111
12,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,11.1,0.756666666666667,118
13,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,12.233333333333333,0.5122222222222222,140
14,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,13.333333333333334,0.422222222222222,143
15,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,14.233333333333333,0.5788888888888889,152
16,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,14.8,0.9599999999999999,161
17,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,16.033333333333335,0.698888888888889,174
18,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,17.0,0.5333333333333333,182
19,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,18.3,0.6766666666666665,194
20,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,19.033333333333335,1.1655555555555552,206
21,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,19.9,1.3566666666666662,219
22,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,20.7,1.2100000000000004,232
23,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,21.9,0.5566666666666666,258
24,30,0.5,0,0.002,1,0.5,1,0.25,300,0.2,23.366666666666667,0.5655555555555555,294
