num_agents,trials,weight0,weight1,weight2,weight3,weight4,height,height tol,end time,etta,succ,variance,time per trial
1,30,0.5,0,0,0,0.5,1,0.25,300,0.2,0.0,0.0,16
2,30,0.5,0,0,0,0.5,1,0.25,300,0.2,0.0,0.0,25
3,30,0.5,0,0,0,0.5,1,0.25,300,0.2,0.03333333333333333,0.03222222222222222,34
4,30,0.5,0,0,0,0.5,1,0.25,300,0.2,0.0,0.0,44
5,30,0.5,0,0,0,0.5,1,0.25,300,0.2,0.5,0.38333333333333336,55
6,30,0.5,0,0,0,0.5,1,0.25,300,0.2,0.5,0.31666666666666665,67
7,30,0.5,0,0,0,0.5,1,0.25,300,0.2,0.7666666666666667,0.5122222222222221,78
8,30,0.5,0,0,0,0.5,1,0.25,300,0.2,1.3666666666666667,1.3655555555555556,90
9,30,0.5,0,0,0,0.5,1,0.25,300,0.2,2.2333333333333334,1.3788888888888888,100
10,30,0.5,0,0,0,0.5,1,0.25,300,0.2,2.9,1.09,111
11,30,0.5,0,0,0,0.5,1,0.25,300,0.2,3.2333333333333334,2.9788888888888883,122
12,30,0.5,0,0,0,0.5,1,0.25,300,0.2,4.2,3.2933333333333343,136
13,30,0.5,0,0,0,0.5,1,0.25,300,0.2,5.1,2.09,144
14,30,0.5,0,0,0,0.5,1,0.25,300,0.2,6.033333333333333,2.098888888888889,154
15,30,0.5,0,0,0,0.5,1,0.25,300,0.2,6.9,2.0233333333333334,171
16,30,0.5,0,0,0,0.5,1,0.25,300,0.2,7.933333333333334,1.2622222222222221,180
17,30,0.5,0,0,0,0.5,1,0.25,300,0.2,8.333333333333334,1.8222222222222226,192
18,30,0.5,0,0,0,0.5,1,0.25,300,0.2,9.566666666666666,2.378888888888888,205
19,30,0.5,0,0,0,0.5,1,0.25,300,0.2,10.466666666666667,1.6488888888888888,219
20,30,0.5,0,0,0,0.5,1,0.25,300,0.2,11.2,2.493333333333333,231
21,30,0.5,0,0,0,0.5,1,0.25,300,0.2,12.833333333333334,1.672222222222222,245
22,30,0.5,0,0,0,0.5,1,0.25,300,0.2,13.766666666666667,2.2455555555555553,259
23,30,0.5,0,0,0,0.5,1,0.25,300,0.2,14.033333333333333,2.0322222222222224,276
24,30,0.5,0,0,0,0.5,1,0.25,300,0.2,15.333333333333334,2.2222222222222228,290
